"strain" "block" "eggs" "worms" "males" "background" "rec"
"EEV1404" 8 NA 116 1 "EEV1402" "mut"
"EEV1401" 8 NA 115 0 "EEV1401" "wt"
"EEV1402" 8 NA 37 0 "EEV1402" "wt"
"EEV1403" 8 NA 96 0 "EEV1401" "mut"
"EEV1404" 8 NA 72 0 "EEV1402" "mut"
"EEV1401" 8 NA 71 0 "EEV1401" "wt"
"EEV1402" 8 NA 89 0 "EEV1402" "wt"
"EEV1403" 8 NA 34 1 "EEV1401" "mut"
"EEV1404" 8 NA 2 0 "EEV1402" "mut"
"EEV1401" 8 NA 60 0 "EEV1401" "wt"
"EEV1402" 8 NA 48 0 "EEV1402" "wt"
"EEV1403" 8 NA 63 0 "EEV1401" "mut"
"EEV1404" 8 NA 72 1 "EEV1402" "mut"
"EEV1401" 8 NA 59 1 "EEV1401" "wt"
"EEV1402" 8 NA 56 0 "EEV1402" "wt"
"EEV1403" 8 NA 75 0 "EEV1401" "mut"
"EEV1404" 8 NA 78 1 "EEV1402" "mut"
"EEV1401" 8 NA 112 0 "EEV1401" "wt"
"EEV1402" 8 NA 83 0 "EEV1402" "wt"
"EEV1403" 8 NA 97 3 "EEV1401" "mut"
"EEV1404" 8 NA 37 1 "EEV1402" "mut"
"EEV1401" 8 NA 65 0 "EEV1401" "wt"
"EEV1402" 8 NA 51 0 "EEV1402" "wt"
"EEV1403" 8 NA 70 0 "EEV1401" "mut"
"EEV1404" 8 NA 38 0 "EEV1402" "mut"
