"strain" "block" "egg" "worms" "males" "background" "rec"
"387" "EEV1401" 8 NA 71 0 "EEV1401" "wt"
"388" "EEV1402" 8 NA 89 0 "EEV1402" "wt"
"389" "EEV1403" 8 NA 34 1 "EEV1401" "mut"
"390" "EEV1404" 8 NA 2 0 "EEV1402" "mut"
"391" "EEV1401" 8 NA 60 0 "EEV1401" "wt"
"392" "EEV1402" 8 NA 48 0 "EEV1402" "wt"
"393" "EEV1403" 8 NA 63 0 "EEV1401" "mut"
"394" "EEV1404" 8 NA 72 1 "EEV1402" "mut"
"395" "EEV1401" 8 NA 59 1 "EEV1401" "wt"
"396" "EEV1402" 8 NA 56 0 "EEV1402" "wt"
"397" "EEV1403" 8 NA 75 0 "EEV1401" "mut"
"398" "EEV1404" 8 NA 78 1 "EEV1402" "mut"
"399" "EEV1401" 8 NA 112 0 "EEV1401" "wt"
"400" "EEV1402" 8 NA 83 0 "EEV1402" "wt"
"401" "EEV1403" 8 NA 97 3 "EEV1401" "mut"
"402" "EEV1404" 8 NA 37 1 "EEV1402" "mut"
"403" "EEV1401" 8 NA 65 0 "EEV1401" "wt"
"404" "EEV1402" 8 NA 51 0 "EEV1402" "wt"
"405" "EEV1403" 8 NA 70 0 "EEV1401" "mut"
"406" "EEV1404" 8 NA 38 0 "EEV1402" "mut"
